taxon	rank	distance	rate
Atherinomorpha	Order	69.867686	0.001442
Atherinomorpha	Order	122.245869	0.000783
Atherinomorpha	Order	122.245869	0.000767
Atherinomorpha	Order	67.458275	0.000764
Atherinomorpha	Order	67.458275	0.000717
Atherinomorpha	Order	82.928878	0.000648
Atherinomorpha	Order	82.928878	0.000657
Atherinomorpha	Order	84.352009	0.001167
Atherinomorpha	Order	84.352009	0.001173
Bilateria	Superphylum	122.983816	0.001349
Bilateria	Superphylum	756.960199	0.001408
Bilateria	Superphylum	75.065214	0.001451
Bilateria	Superphylum	711.158692	0.001509
Bilateria	Superphylum	65.45539	0.001135
Bilateria	Superphylum	701.545896	0.001121
Bilateria	Superphylum	151.284375	0.000886
Bilateria	Superphylum	701.545895	0.000805
Bilateria	Superphylum	701.545895	0.000641
Bilateria	Superphylum	109.978155	0.001522
Bilateria	Superphylum	65.456731	0.000914
Bilateria	Superphylum	701.545895	0.00073
Bilateria	Superphylum	128.542806	0.001089
Bos_taurus	Species	70.494339	0.001137
Bos_taurus	Species	35.74255	0.000921
Bos_taurus	Species	35.74255	0.000975
Bursaphelenchus_xylophilus	Species	397.425423	0.001337
Bursaphelenchus_xylophilus	Species	397.425423	0.001577
Bursaphelenchus_xylophilus	Species	578.763074	0.000587
Bursaphelenchus_xylophilus	Species	578.763074	0.000625
Bursaphelenchus_xylophilus	Species	631.000989	0.000635
Bursaphelenchus_xylophilus	Species	446.143462	0.000904
Bursaphelenchus_xylophilus	Species	446.143462	0.000942
Caenorhabditis	Genus	116.968515	0.001514
Caenorhabditis	Genus	95.240617	0.001772
Caenorhabditis	Genus	95.240617	0.00175
Caenorhabditis	Genus	102.511929	0.0017
Caenorhabditis	Genus	122.714185	0.001613
Caenorhabditis	Genus	79.119893	0.001811
Caenorhabditis	Genus	139.660492	0.001698
Caenorhabditis	Genus	113.077946	0.001733
Caenorhabditis	Genus	85.720581	0.001762
Caenorhabditis	Genus	85.720581	0.001772
Caenorhabditis	Genus	110.038849	0.001855
Caenorhabditis	Genus	110.038849	0.001854
Caenorhabditis	Genus	201.273742	0.001666
Caenorhabditis	Genus	157.718482	0.001715
Caenorhabditis	Genus	142.087696	0.000937
Caenorhabditis	Genus	182.577964	0.00099
Caenorhabditis	Genus	113.140008	0.001003
Caenorhabditis	Genus	226.389656	0.000864
Caenorhabditis	Genus	54.328092	0.002939
Caenorhabditis	Genus	54.328092	0.002925
Caenorhabditis	Genus	92.685858	0.002729
Caenorhabditis	Genus	81.643097	0.002815
Caenorhabditis	Genus	124.978934	0.001538
Caenorhabditis	Genus	180.371518	0.001518
Caenorhabditis	Genus	105.617779	0.001595
Caenorhabditis	Genus	105.617779	0.001591
Caenorhabditis	Genus	138.68913	0.001239
Caenorhabditis	Genus	88.344617	0.001371
Caenorhabditis	Genus	88.344617	0.001345
Caenorhabditis	Genus	115.115581	0.001254
Caenorhabditis	Genus	99.525979	0.001295
Caenorhabditis	Genus	181.424142	0.001219
Caenorhabditis	Genus	137.116135	0.001281
Caenorhabditis	Genus	117.95969	0.001274
Caenorhabditis	Genus	117.95969	0.001263
Caenorhabditis	Genus	675.020412	0.000591
Caenorhabditis	Genus	266.989226	0.000565
Caenorhabditis	Genus	266.989226	0.000574
Caenorhabditis	Genus	132.765079	0.000919
Caenorhabditis	Genus	132.765079	0.000913
Caenorhabditis	Genus	212.671643	0.000546
Caenorhabditis	Genus	593.641249	0.000709
Caenorhabditis	Genus	260.639833	0.000842
Caenorhabditis	Genus	460.56849	0.00064
Caenorhabditis	Genus	460.56849	0.000648
Caenorhabditis	Genus	183.235752	0.00093
Caenorhabditis	Genus	322.57346	0.00057
